This sheet contains FactSet XML data for use with this workbook's =FDS codes.  Modifying the worksheet's contents may damage the workbook's =FDS functionality.
,,Comps Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,(US$ mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,Company,Company,,,,Cash &,Total,,Revenue,,,,,,,EBITDA,,,,,,,EBIT,,,,,,,Net Income,,,,,,,Capex,,,,,,,Dividend,,,,,
,,Name,Description,Market Cap,Firm Value, ,Cash Eq.,Debt, ,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021, ,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021
,,Sweet Sixteen,Operates oil refineries  ,"$6,650  ","$11,110  ",,$427  ,"$4,911  ",,"$12,564  ","$16,082  ","$19,601  ","$18,778  ","$19,665  ","$19,647  ",,"$1,471  ","$1,537  ",$585  ,$543  ,"$1,403  ","$1,536  ",,"$1,245  ","$1,057  ",$492  ,($92) ,$891  ,"$1,027  ",,$928  ,$960  ,$199  ,$67  ,$603  ,$706  ,,$826  ,"$1,860  ","$1,572  ",$595  ,$639  ,$729  ,,$556  ,$529  ,$67  ,$22  ,$228  ,$284  
,,Orionis,Develops and publishes mobile entertainment  ,"$1,581  ","$1,472  ",,$163  ,$54  ,,$257  ,$367  ,$469  ,$526  ,$586  ,$658  ,,($90) ,($109) ,$4  ,$23  ,$53  ,$88  ,,($63) ,($74) ,($11) ,$10  ,$49  ,$78  ,,($112) ,($125) ,($17) ,$21  ,$52  ,$78  ,,$7  ,$15  ,$4  ,$6  ,$7  ,$7  ,,$0  ,$0  ,$0  ,$0  ,$0  ,$0  
,,Theta Limited,"Designs, develops and markets technology solutions  ","$19,533  ","$20,043  ",,$731  ,"$1,241  ",,"$3,398  ","$3,508  ","$3,693  ","$3,739  ","$3,872  ","$4,076  ",,$931  ,$936  ,"$1,058  ",$964  ,"$1,269  ","$1,373  ",,$784  ,$823  ,$864  ,$710  ,"$1,108  ","$1,222  ",,$584  ,$27  ,$715  ,$847  ,$892  ,$987  ,,$138  ,$110  ,$90  ,$83  ,$98  ,$103  ,,$0  ,$0  ,$59  ,$236  ,$79  ,$79  
,,Omega Times,Provides air transportation services for passengers and cargo  ,"$9,768  ","$33,051  ",,"$3,149  ","$26,432  ",,"$31,756  ","$33,686  ","$35,202  ","$36,172  ","$37,600  ","$39,348  ",,"$5,624  ","$5,110  ","$4,028  ","$4,480  ","$4,511  ","$4,817  ",,"$4,748  ","$3,924  ","$2,726  ","$2,929  ","$2,736  ","$2,958  ",,"$2,115  ","$1,013  ","$1,116  ","$1,333  ","$1,717  ","$1,869  ",,"$4,529  ","$4,719  ","$2,960  ","$3,373  ","$2,339  ","$1,628  ",,$140  ,$140  ,$140  ,$140  ,$145  ,$150  
,,Sixth Avenue,"Engages in the development, design, manufacture and sale of game consoles & related software and others  ","$42,386  ","$32,842  ",,"$9,719  ",$173  ,,"$3,473  ","$9,218  ","$10,652  ","$11,473  ","$12,153  ","$11,855  ",,$836  ,"$1,847  ","$2,258  ","$2,952  ","$3,524  ","$3,497  ",,$149  ,"$1,421  ","$2,148  ","$2,854  ","$3,368  ","$3,396  ",,$703  ,"$1,200  ","$1,543  ","$2,047  ","$2,472  ","$2,523  ",,$80  ,$87  ,$93  ,$110  ,$110  ,$109  ,,$127  ,$573  ,$690  ,"$1,011  ","$1,217  ","$1,141  "
,,Rho Sign,Provides satellite communications services  ,$509  ,"$11,485  ",,$669  ,"$11,750  ",,"$1,761  ","$1,730  ","$1,740  ","$1,660  ","$1,589  ","$1,554  ",,"$2,128  ","$1,307  ","$1,166  ",$797  ,"$1,110  ","$1,082  ",,$741  ,$733  ,$758  ,$620  ,$587  ,$611  ,,$797  ,($144) ,($483) ,($735) ,($413) ,($344) ,,$575  ,$372  ,$206  ,$185  ,$221  ,$227  ,,$0  ,$0  ,$0  ,$1  ,$0  ,$0  
,,Kappa Corp,Operates global data centers  ,"$47,106  ","$56,722  ",,"$1,600  ","$11,268  ",,"$3,063  ","$3,704  ","$4,314  ","$4,682  ","$5,114  ","$5,587  ",,"$1,183  ","$1,533  ","$1,850  ","$2,084  ","$2,457  ","$2,713  ",,$621  ,$660  ,$867  ,"$1,020  ","$1,057  ","$1,225  ",,$97  ,$198  ,$310  ,$430  ,$570  ,$668  ,,$944  ,"$1,169  ","$1,778  ","$1,763  ","$1,810  ","$1,712  ",,$503  ,$574  ,$655  ,$707  ,$760  ,$833  
,,Upsilon Establishment,Engages in coal storage and loading terminal business  ,$964  ,"$1,150  ",,$89  ,$275  ,,$309  ,$314  ,$346  ,$371  ,$351  ,$287  ,,$166  ,$158  ,$181  ,$212  ,$193  ,$149  ,,$157  ,$143  ,$169  ,$188  ,$180  ,$135  ,,$114  ,$104  ,$119  ,$130  ,$115  ,$83  ,,$66  ,$47  ,$46  ,$23  ,$20  ,$18  ,,$41  ,$41  ,$41  ,$41  ,$76  ,$67  
,,Sigma Limited,"Produces, markets and distributes premium-branded automotive, commercial and industrial lubricants and automotive chemicals  ","$4,263  ","$5,696  ",,$165  ,"$1,637  ",,"$1,981  ","$2,161  ","$2,319  ","$2,413  ","$2,540  ","$2,670  ",,$458  ,$559  ,$447  ,$483  ,$508  ,$539  ,,$441  ,$516  ,$359  ,$421  ,$441  ,$466  ,,$282  ,$224  ,$231  ,$210  ,$283  ,$316  ,,$76  ,$74  ,$107  ,$109  ,$164  ,$136  ,,$0  ,$42  ,$63  ,$81  ,$81  ,$85  
,,Highlander,Develops online games  ,"$15,809  ","$13,596  ",,"$2,418  ",$123  ,,"$1,746  ","$2,240  ","$2,419  ","$2,370  ","$2,545  ","$2,749  ",,$508  ,$719  ,"$1,182  ","$1,258  ","$1,095  ","$1,190  ",,$656  ,$985  ,"$1,014  ",$990  ,"$1,010  ","$1,117  ",,$192  ,$541  ,"$1,027  ","$1,103  ",$885  ,$950  ,,$57  ,$28  ,$25  ,$22  ,$19  ,$19  ,,$21  ,$0  ,$0  ,$21  ,$27  ,$38  
,,Eleven Seven,Provides global marketing data collection and analytics services  ,"$7,967  ","$16,985  ",,$399  ,"$9,213  ",,"$6,466  ","$6,735  ","$6,677  ","$6,645  ","$6,742  ","$6,886  ",,"$1,788  ","$1,883  ",$199  ,"$1,903  ","$1,939  ","$2,011  ",,"$1,279  ","$1,332  ","$1,104  ",($74) ,"$1,029  ","$1,096  ",,$514  ,$440  ,($730) ,$652  ,$652  ,$711  ,,$444  ,$501  ,$533  ,$324  ,$385  ,$387  ,,$441  ,$485  ,$507  ,$428  ,$88  ,$159  
,,Hours to Midnight,"Develops, markets and publishes of interactive entertainment software  ","$14,976  ","$12,416  ",,"$2,758  ",$198  ,,"$1,791  ","$2,162  ","$2,914  ","$3,207  ","$3,031  ","$3,917  ",,$254  ,$423  ,$570  ,$730  ,$734  ,$935  ,,$73  ,$204  ,$271  ,$694  ,$668  ,$820  ,,$14  ,$203  ,$415  ,$611  ,$580  ,$733  ,,$26  ,$61  ,$95  ,$68  ,$82  ,$101  ,,$0  ,$0  ,$0  ,$66  ,$0  ,$0  
,,Lambda A,Designs and manufactures navigation and communications equipments  ,"$17,898  ","$16,597  ",,"$1,363  ",$62  ,,"$2,930  ","$3,030  ","$3,250  ","$3,648  ","$3,867  ","$4,048  ",,$695  ,$760  ,$893  ,"$1,061  ","$1,030  ","$1,080  ",,$606  ,$664  ,$756  ,$918  ,$926  ,$969  ,,$496  ,$688  ,$674  ,$925  ,$862  ,$890  ,,$94  ,$147  ,$156  ,$117  ,$219  ,$192  ,,$378  ,$378  ,$389  ,$415  ,$447  ,$472  
,,Pi Cube,Manufactures and sells notebook computers and other personal computer-related products  ,"$8,136  ","$9,836  ",,"$5,630  ","$7,129  ",,"$29,898  ","$34,152  ","$34,379  ","$34,527  ","$35,451  ","$36,444  ",,"$1,003  ","$1,036  ","$1,106  ",$881  ,$970  ,"$1,092  ",,$639  ,$589  ,$478  ,$605  ,$689  ,$797  ,,$506  ,$480  ,$506  ,$545  ,$598  ,$677  ,,$167  ,$224  ,$483  ,$267  ,$240  ,$223  ,,$452  ,$439  ,$458  ,$472  ,$509  ,$552  
,,Friday 5th,Develops and manufactures semiconductors and related devices  ,"$5,924  ","$5,401  ",,"$1,102  ",$573  ,,"$1,770  ","$1,655  ","$1,211  ","$1,560  ","$1,089  ","$1,241  ",,$165  ,$155  ,$136  ,$187  ,$64  ,$167  ,,$7  ,($90) ,$22  ,($18) ,($209) ,($91) ,,($4) ,($129) ,($46) ,($434) ,($218) ,($99) ,,$100  ,$172  ,$200  ,$165  ,$273  ,$238  ,,$0  ,$0  ,$0  ,$0  ,$0  ,$0  
,,Iota Times,"Provides technology consulting, outsourcing and support services  ","$8,976  ","$18,904  ",,"$3,068  ","$12,574  ",,"$9,019  ","$21,619  ","$25,238  ","$23,605  ","$22,552  ","$20,887  ",,$726  ,"$2,782  ","$5,081  ","$4,184  ","$4,082  ","$3,786  ",,$301  ,"$1,841  ","$2,818  ","$2,601  ","$2,544  ","$2,488  ",,($91) ,"$1,013  ","$1,762  ","$1,701  ","$1,646  ","$1,672  ",,$620  ,$834  ,"$1,040  ",$578  ,$600  ,$560  ,,$172  ,$209  ,$230  ,$253  ,$262  ,$252  
,,Tunnel-vision,"Develops, markets, publishes and distributes game software content and services  ","$35,985  ","$31,134  ",,"$7,333  ","$1,739  ",,"$4,605  ","$6,415  ","$8,132  ","$7,146  ","$7,693  ","$8,553  ",,"$1,715  ","$1,605  ","$1,199  ","$1,793  ","$2,082  ","$2,364  ",,"$1,523  ","$1,441  ",$956  ,"$1,555  ","$1,829  ","$2,087  ",,"$1,400  ","$1,270  ",$745  ,"$2,419  ","$1,540  ","$1,748  ",,$138  ,$299  ,$834  ,$290  ,$325  ,$344  ,,$343  ,$313  ,$184  ,"$1,081  ",$397  ,$437  
,,Fifteen World,Designs and manufactures solar PV modules and photovoltaic solar power systems  ,"$1,457  ","$2,791  ",,"$1,084  ","$2,534  ",,"$2,970  ","$3,529  ","$3,898  ","$3,275  ","$4,184  ","$4,192  ",,$264  ,$366  ,$556  ,$308  ,$469  ,$439  ,,$53  ,$231  ,$333  ,$197  ,$315  ,$274  ,,$68  ,$104  ,$247  ,$135  ,$186  ,$154  ,,"$1,157  ",$323  ,$329  ,$347  ,$195  ,$319  ,,$0  ,$0  ,$0  ,$0  ,$0  ,$0  
,,Phi Plc,Provides air transportation services with interest in passenger and cargo air transportation  ,"$7,873  ","$13,516  ",,"$1,323  ","$7,471  ",,"$11,535  ","$12,029  ","$12,623  ","$12,820  ","$13,142  ","$13,949  ",,"$2,005  ","$1,917  ","$1,897  ","$2,160  ","$2,364  ","$2,552  ",,"$1,093  ","$1,011  ",$729  ,$688  ,$765  ,$965  ,,$561  ,$685  ,$591  ,$391  ,$450  ,$583  ,,"$3,102  ","$4,137  ","$4,304  ","$4,293  ","$4,345  ","$4,011  ",,$404  ,$193  ,$349  ,$230  ,$242  ,$300  
,,Four Brothers,Engages in the development and publishing of online and mobile games  ,"$9,387  ","$8,414  ",,"$1,183  ",$244  ,,$670  ,"$1,197  ","$1,168  ","$1,158  ","$1,812  ","$2,090  ",,$260  ,$438  ,$452  ,$338  ,$741  ,$914  ,,$224  ,$398  ,$417  ,$326  ,$711  ,$878  ,,$185  ,$300  ,$285  ,$245  ,$553  ,$677  ,,$13  ,$22  ,$21  ,$40  ,$27  ,$29  ,,$54  ,$102  ,$85  ,$73  ,$127  ,$153  
,,Seven Tails,Provides media educational and entertainment programming services  ,"$20,330  ","$36,324  ",,$801  ,"$15,802  ",,"$6,325  ","$6,688  ","$10,223  ","$10,799  ","$11,463  ","$11,383  ",,"$2,272  ",$647  ,"$3,067  ","$4,552  ","$4,555  ","$4,674  ",,"$2,053  ","$2,186  ","$2,527  ","$3,076  ","$3,324  ","$3,426  ",,"$1,158  ",($327) ,$571  ,"$2,498  ","$2,548  ","$2,669  ",,$85  ,$131  ,$143  ,$239  ,$221  ,$219  ,,$0  ,$0  ,$0  ,$0  ,$0  ,$0  
,,Going on Seventeen,Owns and operates an international airport  ,"$3,040  ","$3,251  ",,$279  ,$491  ,,"$1,086  ","$1,183  ","$1,429  ","$1,282  ","$1,143  ","$1,085  ",,$537  ,$629  ,$677  ,$551  ,$422  ,$393  ,,$362  ,$439  ,$513  ,$382  ,$249  ,$215  ,,$223  ,$321  ,$365  ,$276  ,$182  ,$154  ,,$22  ,$82  ,$354  ,$153  ,$163  ,$162  ,,$88  ,$133  ,$141  ,$115  ,$79  ,$72  
,,Second to None,"Develops, publishes and distributes entertainment products  ","$9,128  ","$9,604  ",,"$1,771  ","$2,246  ",,"$1,592  ","$1,836  ","$2,109  ","$1,589  ","$2,815  ","$2,850  ",,$686  ,$789  ,$937  ,$697  ,"$1,437  ","$1,583  ",,$209  ,$285  ,$320  ,$47  ,$649  ,$667  ,,$114  ,$159  ,$218  ,$140  ,$394  ,$427  ,,$599  ,$623  ,$701  ,$90  ,$88  ,$93  ,,$0  ,$0  ,$0  ,$0  ,$0  ,$0  
,,Nu Inc.,Provides credit card reader solutions for mobile devices  ,"$33,068  ","$32,931  ",,"$1,017  ",$905  ,,"$1,452  ","$1,882  ","$2,803  ","$1,897  ","$2,414  ","$3,113  ",,($112) ,($13) ,$36  ,$353  ,$450  ,$644  ,,($101) ,$11  ,$48  ,$20  ,$52  ,$168  ,,($146) ,($53) ,($33) ,$325  ,$399  ,$566  ,,$22  ,$22  ,$53  ,$59  ,$91  ,$111  ,,$0  ,$0  ,$0  ,$0  ,$0  ,$0  
,,Nine Fox,Provides online travel services  ,"$14,705  ","$16,790  ",,"$3,773  ","$4,565  ",,"$7,166  ","$8,216  ","$9,166  ","$9,856  ","$10,384  ","$11,140  ",,"$1,016  ","$1,215  ","$1,335  ","$1,517  ","$1,928  ","$2,159  ",,$473  ,$545  ,$640  ,$757  ,"$1,049  ","$1,112  ",,$230  ,$309  ,$332  ,$461  ,$895  ,"$1,044  ",,$612  ,$580  ,$717  ,$947  ,$781  ,$692  ,,$122  ,$142  ,$152  ,$162  ,$168  ,$141  
,,Delta Team,"Develops, markets, operates and provides online social game services  ","$5,371  ","$4,713  ",,"$1,076  ",$554  ,,$573  ,$666  ,$702  ,"$1,022  ","$1,364  ","$1,511  ",,($49) ,$52  ,$53  ,$111  ,$280  ,$332  ,,($78) ,$31  ,$7  ,($211) ,$247  ,$292  ,,($84) ,$21  ,$12  ,$60  ,$198  ,$247  ,,$8  ,$8  ,$9  ,$18  ,$15  ,$18  ,,$0  ,$0  ,$0  ,$0  ,$0  ,$0  
,,ClassC,Manufactures home appliances  ,"$8,339  ","$12,524  ",,"$1,723  ","$5,093  ",,"$18,284  ","$18,756  ","$18,566  ","$18,024  ","$17,812  ","$18,182  ",,"$1,702  ","$1,502  ",$719  ,"$2,052  ","$1,879  ","$1,953  ",,"$1,316  ","$1,315  ","$1,028  ",$984  ,"$1,354  ","$1,424  ",,$784  ,$309  ,($162) ,"$1,045  ",$885  ,$946  ,,$582  ,$604  ,$521  ,$470  ,$492  ,$532  ,,$221  ,$244  ,$258  ,$269  ,$282  ,$295  
,,Eight Defense,Provides online market places for the sale of goods and services  ,"$24,007  ","$27,855  ",,"$2,074  ","$6,183  ",,"$6,592  ","$7,309  ","$7,895  ","$7,870  ","$7,141  ","$8,333  ",,"$3,331  ","$2,381  ","$2,741  ","$2,350  ","$2,689  ","$2,859  ",,"$1,702  ","$1,675  ","$1,637  ","$1,701  ","$2,229  ","$2,383  ",,"$5,348  ",($744) ,"$1,856  ","$1,316  ","$1,698  ","$1,820  ",,$460  ,$489  ,$478  ,$407  ,$398  ,$428  ,,$0  ,$0  ,$0  ,$352  ,$397  ,$412  
,,Mu International,Provides marketing and business services  ,"$8,818  ","$12,554  ",,"$1,101  ","$4,639  ",,"$7,246  ","$8,355  ","$8,971  ","$9,439  ","$8,170  ","$8,394  ",,$996  ,"$1,003  ","$1,073  ","$1,250  ","$1,362  ","$1,417  ",,$866  ,$867  ,$932  ,"$1,034  ","$1,099  ","$1,144  ",,$562  ,$512  ,$572  ,$606  ,$683  ,$722  ,,$185  ,$144  ,$164  ,$183  ,$187  ,$187  ,,$217  ,$260  ,$303  ,$340  ,$362  ,$392  
,,Rock & Fire,"Develops, markets, publishes and distributes game software content and services  ","$32,066  ","$27,659  ",,"$5,657  ","$1,250  ",,"$4,649  ","$5,113  ","$5,368  ","$5,231  ","$5,397  ","$5,908  ",,"$1,266  ","$1,599  ","$1,824  ","$1,779  ","$1,877  ","$2,108  ",,"$1,050  ","$1,413  ","$1,593  ","$1,632  ","$1,717  ","$1,973  ",,"$1,313  ","$1,012  ","$1,431  ","$1,401  ","$1,465  ","$1,691  ",,$125  ,$117  ,$105  ,$135  ,$134  ,$146  ,,$0  ,$0  ,$0  ,$293  ,$119  ,$0  
,,Dozen Team,Provides internet infrastructure services  ,"$21,382  ","$21,887  ",,"$1,062  ","$1,567  ",,$996  ,"$1,016  ","$1,059  ","$1,074  ","$1,102  ","$1,190  ",,$658  ,$685  ,$778  ,$781  ,$814  ,$884  ,,$599  ,$617  ,$669  ,$703  ,$766  ,$834  ,,$384  ,$399  ,$508  ,$534  ,$529  ,$580  ,,$148  ,$43  ,$32  ,$35  ,$44  ,$45  ,,$0  ,$0  ,$0  ,$0  ,$0  ,$0  
,,Above Clouds,"Publishes online, personal computer, console, handheld and mobile interactive entertainment products  ","$39,994  ","$37,441  ",,"$4,742  ","$2,190  ",,"$5,409  ","$5,744  ","$6,133  ","$5,311  ","$5,575  ","$6,076  ",,"$2,024  ","$2,056  ","$2,468  ","$1,789  ","$2,077  ","$2,368  ",,"$1,184  ","$1,071  ","$1,621  ","$1,423  ","$1,937  ","$2,236  ",,$787  ,$223  ,"$1,484  ","$1,230  ","$1,549  ","$1,804  ",,$111  ,$127  ,$107  ,$95  ,$116  ,$121  ,,$164  ,$189  ,$215  ,$233  ,$196  ,$211  
Comps Selection,



Company,
Name,

Eta Hill,
Ten Times,
Epsilon Co,
Orionis,
Theta Limited,
Sixth Avenue,
Highlander,
Hours to Midnight,
Tunnel-vision,
Four Brothers,
Second to None,
Delta Team,
Rock & Fire,
Above Clouds,


























